College,PG Name,Location,Gender,DistanceFromCollege,Room Types,Price (_/month),Amenities,Images
RNSIT,Reddy Boys Hostel-4,Rajarajeshwari Nagar,Female,~2 km,"Double, Triple, Quad","5,500 - 7,500","Meals, Wi-Fi, Laundry","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxITEhUSEhIVFRUXFRgVGBgVFxUXFRUVFRUWFhcVFRcYHSggGBolHRUVITEhJSktLi4uFx8zODMtNygtLisBCgoKDg0OGxAQGy0lHyU2LS8tLSstLSsvLS0vLS0tLS4tLS0tLS8tLSstLS0tLS0tLS8tLS0tLS0tLS0tLS0tLf/AABEIALIBGwMBIgACEQEDEQH/xAAbAAABBQEBAAAAAAAAAAAAAAADAQIEBQYAB//EAEIQAAEDAgMEBggDBwQBBQAAAAEAAhEDIQQSMQVBUXEiYYGRscEGEyMyobLR8EJSchQzYnOSouEWQ1OC8QcVJMLS/8QAGgEAAgMBAQAAAAAAAAAAAAAAAAECAwQFBv/EACsRAAICAQMDAQgDAQAAAAAAAAABAhEDBCExEkFRMgUTImFxgaHwQpHhsf/aAAwDAQACEQMRAD8A3Vb0UrD3Sx3aQfj9VCq7JrM96k4chI7wt62qEmIeAxx4NJ7gVEDzp9EOBaRIIgjcQdyiUNh02+4XNvNiddOPUrKm1Ha1Aiubg6zfdqk/qun+uxDdWNdyMFWQCcAgDMs9IHvJa1oY5rg1wIcYcdwJAG4o2D221z306rB0XFocBIMfmiSOeiHh9mMfiatUnLlJBPNx46aLL1MPOJewiW3fGsGInsWhRTVHOnnlCSl2N1UGHMdIdLTKZ+F0x2zGGMrxcSAdSOI71R4Ok1kFuaQHTLnOFmgWk2N5VFgNo1svrZJLXkMHCG6dXvBQjG1f1LHqae/yNo/Zjxunkor6ThqCFNGMxGWHUg6W6sdB04FRm7fc9oc0NAMiCCZIB36ai43SOKhFdXBpnNQVsFTrub7pI5FS6W2Kg1h3MfRD2btSjWaM4ax+8aA3iQezQotejQifWAdeo7wimCkquyQza7D7zS3ldOy0KmhbPcVCqbLd+EgqHVwz26gpWTLOrsr8pI+KD+x1NBBUKnXe3RxHbbuUultaoNQHfDwSskTsPs7e8/TtKTE7Yps6NMZj/aPqqjF4ypU9424CwHYoj3htyUAScXjalS7nW4aAdigVK3C/PRDfiQ45QO1EZTTAYKZcb3VrgcGHNcCOHmodMXV1snR3Z5pgDwGBDbQtLggAFU0zBU6lWTAtn1rKvrVT970x2IUWvWTAFXcq6spFV6i1SogRaiA5HehEIAC4ITkdyC5A0BemJ7kxIZe0cXUZ7j3t/S4jwKmf6gxAaWmpmBBacwBsRBvEqkGLb1hPFdh/EFUI1NCifVsqSIdbr3jyKyWEzilTLajmkh0w47nlvkrrZW02wyjM5nyNIADHf4VFgHTTZ1F/xcT5qGV8fvgnjRJbtHEt/wByR/EG+MKYzb1Ue8xh5SPNRcNg3VTlaCTrbhxJ0A+7qy/0zVj3mTwzO8cqzJ5P4tlrUO5TnFTMjVxce1MwpYK5qOsCyON56lIx+zqlI9NpHA6g8iP/ACoesfe5TWtyx2ZQ9BhluiwxdRhDspB6No69fAKtxmEbThrAAB0oHHoj/wCqQiTN/ihmZgE6c1ZH2j5iUz9mp+mX4NvhmEwTvaBusRKy9DAUmVb2aWvcRuLxG7/t8ECntjEMsHnkb+KD/wC5PJa4gEgnqNxHmpYdZjVp7D1GjySrp3og7NYwznaCAd40tNuGp71beslj2taAMhMCd5Am/JV+y4LSRvM9cZeKssO0X/Q4fFp810ElfUchuUV0AthbQruysNUBp4jQCYGaZjrUqntF7KjC3NUD2mxdwdZwnU/VUWy6VmgcY7yVZuBacPGubIe10KMkqa7l+PJJzV8F0/HsI9pSqM6yyR3slMovoVS5tN8lsFzRNp0kHkox2niW1C19A5JdDtG5QTlOaTJIjgrLB1WVAHBsOgbhIkTErO0zqGe2nULHljbARffoD5qBc3N1YbZb7Z3Z8oUNrU0Mdh29Ife5T2hQ6A6QU5oTQmOYLq02a6M3Yq5oUvBuiUxE4vuiNqqG590udMCWayC+ogmomOekAr3oD3JXOQiUAI4ocpXFNagBhQnIxQ3IBEdyZlRnFNzJEiS+mz8vio76LesKyfhUF+CKqUWKyBhqcVGkO0cD3FC2FiJYRwP34KzpYEgrO+j9g+dJ83LPqLVF2Hez1PYNANotI1dLj4DuAAVg9wAkqLsj9zT/AEDwU4K6HpRW+SNUax7S10EGxBWFx2G9XUczXKbHiDovQiwcFiPSVsYh/KmqNUl02WYXvRW5Jt1/fgtPgdiU2tGdoc43Iddo6o0PM/DRZqg/pD7tcLZsxFNxgOLTwNpUNJjUrdDzz6aVkDGbFovEBoYdxaIjsFisdisK6m8sdqD3jcV6FUpHc7vErJ+lzYqtO803T2EQpanHFR6kGGbuik2cGsosJcJdJjgGgATzurfCPzZWj8r+33FE2Rgmuotc5oM79+nUp2EwjW1GhojoOPeRvK6UalGL8HEnam/n+/6UmzWHo9To+J0UhuGcWsl9/WktInow6WgdymbOwOjjY5yeqMxj4IjG9Gn1P8wrZdyrFamv3wWAbUa0uLmwAXGJboJ/CR4Ltm1iT0hBdJEXB+5CnspBzSCLOEHlv8AoWythtoEnO98m2czlHALMkdkpttD2zuz5QoQCstsD2zuz5QoRCBnUhcKa1RaYuFKCYBGotN0IIXVHWTIkrMlLkBjrBLKACZkhKGSllAHFNK4ppQAjkwFK4pEADeUwpzwmlIYJyYiOCYQkM1JYu9WE4lJmQVjm0wsDskWqjrPi5bwVFg9n/wC7+o+JWTV9vuadP3+x6psP9xS/lt+UKxaq3Yh9hS/lt8FYAq2HpRW+TsRWDBJnuJ8AVh/SGs19Z7mmQRTg8rHVbgrEekzQK9SLWZ4LNq/QW4PUVVF0ZT1T4lXlOu2oYZJPCDKosPT3dV+0FXFLDuYT6lzg426MEx2gqfs6W0vsUa9fFE0GzKpfTvcgx9FmfTMe0b/Kd4q3bg8SGj25J3yG69gWf9JG1A9nrDLvVu4aSOCerdwZZp18SJOwac0GcvIKUxsV2NizmOE7hEEA879yf6PUx6hn6B4BTXtDXSdAD4LdFfBS8HJfrt77kLBsAg6gOPaA4qJiamYZz/yTbQXarLDs6BPW7xKgOZ0B+r6K0qV2i7wfuohCZgvdRXKk6xlNrj2ruz5QoACstsD2ruz5QoGVRJHUhcKU0IFMXClAIA4BMxVgOaMAgY73RzTEwlI9Eck5Nw/uD73okJiGrk6EgQA1IU4pEADISQiQkAQMC4JsIjgmwkMCUkJ7gmpAaElMc5FLUwtSIAs6xWBJ9oBvdHitwGLC0Bd/6vMrFq3SRq0y5PRfRva1I0gxzg3KAOkQA6Z926uRjaX/ACs/qb9V5nQDb9EacAnFgmco4aBVLUtKqJe5R6e3FU/zs/qb9Vj/AElcDXfFwW09NNFTMDPyt7gilrWg5QBcaACbqrLnc1VFkMfS7H4c9MSRq0nhqVt3bQobqtP+pqw0AnsHiUMUxe3HloFDDneO67jyYlNm3ftKh/zU/wCtv1WW9Kq7HvaWPa6KbvdIMX3wq9rRpAsQNOSZVHRPLyKnl1TnHpaIwwqLs2HotTBpUsxgZGz/AEqZUpAv0lt9fgo/o632NP8Alt+UKcR0u9dqDuK+hxaab27sgNZDHc3earqrYZ/2+ivH0PZOdOriI7NVSY5+UNEE5ngcuJ5WVvJnp9SLTB6IzkHB6IziqjqGX2v+9d2fKFCAU/a3713Z8oUKFEkLTFwpMIFMXCOUAOCjbQFhzUkIG0dBzKYD8L7je3xKKhYX3B970WEwEC5KuASsVCEJAEQhNRYUDSJ5CSEhgXJkIxCZCABOCGjuCblQFGihMejQo9YoZAIxiwLG9J/6j4r0OloFgGe8/wDUfErBreEa9N3C0Zvy8wiB1ykpi5+94S1B0h3LnLk1EhrdALmYHG+5HrNIlpBBBEg2OoXYF9YvAZ6tpzGD6ttrHem4sOk5yC4OAJGkggW6rKcopR6kyKbuhWC/d4lFq4V7ZBY7TcJG7eLINESRJiYvuFzdOxFPpuArOcOLXuynkJUYpU2wbd7AspEzYyO/emVhY8vIp1JsDt3pK2h5eSrk1ZI2nozejT/Q35QpYqAuMHRVWwatRtGmWt1pt1JH4RewKktY8EnIIN7O3246aL0UJbL6I4bg74fLJL3gNdPWqnEaDn5qRXLryWtHWfFQWV2PdlbVY4su4NIcd4GhtfwVicU2yv3U21tsWmFPRRC5UuI2vRw8Co85jMNax5cWgEzAm3vX6kKp6SUY0qdrMvzQom0FtM+2d2fKFEVbjPSNj6wDA0lzgINSnmiwJDWkzFzFtFZByAH09QjkIDNQpCQzmKPtPQcypjQoe1NG9vkmAfZ7C5rWgSTYDtKnVdnVGiXMIHHcoey62QMfE5TMcdVPxe3qj6eU0Rd0WfMAQZMtHH4JWBBhKAkJTggDiFxXJQEAMITEUhJCAA5VxarrYmz6dRry8mx3EARG+QpzthUiJDnjmGlAGUeEyEeuRnewfgdl+EyhwlZIv9xUaqVJ3FRXIbKkScNoFg46T/1HxK3mG0hYU++/9R+YrBrOEa9N3DU9Ty+ie9txzTKWp5fREqajmufe5rCs++5NqGAOEjyTmjx+q6o2w5jxCh1DoSjU05eZTmv8PNMps05eZXM8io9Q6Oabdq6t7p5eS5un/b6Jz/dPJQkx0dt3aIbRotdmc1lBjy1ri2XOLWsBg3HRf8eqMZX2vVcSQ7INzWl0C94k70TEYivUc9hbmADQLXDGueGDl73emM2JiH6Undx8wvSYsuKMEpvc5s8U3J0Qa2Jedar44TaCtb/6d1gz1mYyCYZmEkmGucG20sq6j6J1zd0M/U5o+BKtvRfAtp4l9L1rXObo0EkkZBLhuiXEdiWTPCUaxrcI4nF3JlZ6Y7ZNR7/U+69rGlwIb0GF8tDdRLnPBO8CFi6uF/h69J+K0eK2jgqFR7KlOo8l0giBDYAM3/MHHlClbH21s+q7KaRpnd6x1j2jTtUseWcVShf1Y3CD/kZ70c2a4YilULQBngAkSeiTMDdYr0RmNaXEA3BjuKrmVAcbSpMYwMa4aD/kDRcmZtmTdmNmrU/W7xKFKcncq+xGSiuDQs1CO0qNTNwjgqZALSeo21zZvb5I9MKHtg+72+SAKmrt91NxplgIa0OmYNyAfmRqPpbRLcrg9uVxJkSLho3HqKoNpXq1P5B8GlUubpx+aI/7C6pc3bRcoKj0eltqgbetaD/F0fFTqVZpuCDyIPgvN8Q4euI6ypdVsOEW9nutfsT96L3Z6FmTgvOsLtOu1oiq7tOYf3Srhm3q7abXEtdPFsfKpe8Qug1xXLM4f0om7qR/6u8irKjt2iW5jmaOJFvgjrXkXSy2p42rTBFNwbN7tzBFqbbxTWUz7JznZiZa9jYBtlIJk3vwVZTx1J3uvae0KXVrNNOjBBtV0IMdMIYiDS9YXPfUDQXuzQ0kgd6NlTyuhAFxuKilHmyAUMrJGFN1hiek/mfmK2tB3SCxQHtHjrPzOWLWcI1abuHp69nkiPFxz8k1ouOXkiHUfe4rms1hfqEOo+3aPEJ5Pl5INfQ8x4qFEh5qX7B5oLavn4Jrjfu8UNrr9p+VQS2JBm1D/d9E57+ieSDm17PEpHu6J5eai0MxWP23iWVnCk/K6XN6LWz6thhl4sZz360CpVx9WS+u8g7nPcR3aBbnCbBokB5bLnSSQSCczi7dzidbKdT2XRH+20ni4Zz3ulekjLGoq0cuXVbMbsPF16Bl59awXIOoA1LSdORty1Wv9GsMRimueOk+g92nuuz5nNndaowdeTqVfiaU4o0gQKb2MfUH8suhvDpCJ6qZ4rQbDxOfFuAIy06bp3kvdlMTuAbHPP1JuStUiNbGHxfoi6rWq1HOBmo4CSQAASAIykyEr/R6nRLc5OUkt9m3pZ4lrRMzOVw01jitZtPEspud02tGd3vEAzmOkqkn173kOJbTILdf30Ah19wFuvO5ThqJcIOhAvRrDtZi6bDZwe0kTMEgGJ6hA7FPwDYqP5nxR/R+h6zEsqGbOmHXj9JNx2GOpSGbMLXOgkanpXGu5w8wOagp3uxtB6ZuEaUBtNwIkROnA8joexS6eHedGntspucVyxdLfBzHKDtp/udvkh1trtZbI7MNWm0c9/wUDF411UjQAaAeZ3q2GOUtyDkkUmLf7Z/8ojvaFV4PpOYeA8FqAxAfgaZM5BPEWPwSlo3u0ycdQls0UWJcPXE8HeauajQSzraQomK2LJLmvubkO49RGiWrRqNFORJBh0GRoqJ6ecexbHLFjcgAI4f+VYYqnFNgVDVxZa6Dv3Gxsf8AKucdiRkp/e5USTVE1QlFluxHj/45/VHxQsO8ERO5HAmiP5nkoNjorqktpOI4T3JaLOg0jWAfgu2i72bh/CfAo9MdAch4BDewJbljhaz8sh7tD+Ix3aIDds1/z/2t+iNs0dDvVW1Qjkkm9ybivB6hKBN08FCJW9swIIw3WNa72lTmfnctewrHNPtKn6nfOVj1XCNOn5ZNZqOzwKKBcILHeXiiF+i5rNYVwso1d1u0eKI82QKwt2hRGhr3eA80Cbnmn1Ab8h5oO88wq+xYgmb77Suc63Z5lMhOcyx5FQZJHYbbjWtyEtzNLhF3OgOMdEX0Tn7Xc73WvPc0d3vfBV9Cg0VXNcYzZHNFyTLYMAamQtTgMM6AKeHqHrcBTb/fB+C7cml/pzelmfwNKo5jqpaWuLvWEOmcsZQ0TwAbMx+JW/ojs6pTeXveTNOoSPw5nEFxHG/G40VnW2fiS0jLTE2LW+0dB1MuLAPirjC4LIwNmbRJiSOuAoy1GOK5/oFjkzDmhSbWqF+VrjUqSBGYnO6LNu6RBVlgcPlvSw9S5JmBTBkk9IPgm5P4StQzCAEuDWgnUgAE8zF0j6bswILcl8wg5urKZj4LO9Xv8K/ss90q3KrZOAex5e8MbLswawlwEi9yBvv2qwp4UAzeSpBaN33yTZ61RPU5JcsmscV2BNYAYAAOthYnjzT4Ta1ZrQS5waBqXWAm2pslmRY6jUcDvBVdvlkiHtDZrKoh09RES3lI+Cz+O2E9l2dMDh7w7N/YtVT0gmSLTxjeufYE9X2FqwazJhdJ7eCueGM+TCA7k5outhicBSrCXNud4s4c/oVT4n0eeP3bg4cHWPfofguxi9pYpbS2fz4Mk9NJcblSaaG6yNXpvYYe0tPX5HQobzoPuF0IzTVoztVsRsTRpuac7QRr18xwKqcfSlgNMyGTI/FE6xv0VhtKmSHN3ZRbqm9uO7tVpgNgVXZDlyDLBJ14wG8Z4wqNS8SV5HX/AEtxdf8AEyuDqHMI4eUq2oE/s7+p090K+/0nTYS5tWHanOG5b8IjKO9Aq7KrU6bwWZgbgs6Q7RAPwXElmi38JvUdtzM7RPs3Hiw+Cm4dvRA6gou0yPUuvcNcPFHoVLC+5Sb+EIrcnbPPQd1T8AVUNNlPwFTo1B+rwUGmLBKOzZJnprSoz67Rq4KoNcmZcT1T5JgcdwPgtLyGCi3/AG1u6SslQrZn1D/G/wCcq8Y13Us1gne0qD+N3zlZ87bjuaMHJcU3eHmiT4qPh3TNjEffJLXxAbdxDRxcQAsPQ/BqtEkiyY76eKqcR6QUhYOLjwY0n4myrcXtSrUj1dMtje8lx/pGnepx08nzsReWKNO9wnXuRMHsurVPs2W0LiYaO36LM4fZ2MqmczxMDojIO8XXqfophvV4ZlE+81oJ3yXXd8SVDLiWNLclHJfBT0fRJ/8AuVQP0CT3nTuVjR9GsO27muqH+NxI7hA+CuXJsrOPqYOlRY33WtbyAHgiZ01NKGxCzed6aSfveh16hAkNLriwiY43ISteDpdO3yIcXJjgdx/ylcEBheJDiHXMQCCBukSZ5juS5Aeo78YwPyZ2h8TlJExyRatYCLOM7wJA6yRoOtNqRYmB/EYkSpJeQFeAbESOBSBsbrbo3cupNqMmzib72mO46gp44Hv48+BUewzhrHb9/BJnNwWnnbpDeRfxSVLX3b41E/5hODgRryP3vUr2sRzoF92/6hcHEC5mBMxcjjDdewJtSdBGbdNxzIn4JGyNY7Pwn6FTT2EDdhWEl5GYPAkOLi2+hyGw5wqzHejrCRkc5k2iM7Rz3jvV2D1c/vglA/CTPA/e8K6GoyQdxbIShGXKM1hvRtxd7Qtyz+GSXR12yrRNGndyIRmX56HyKjYqq1ocXHK0XP8AERaPBLLqMmZ3N8BGEY7IV9LNbcbc58k11ZoaT+Vs9w0VRtb0hythgJe6zWjXmepQKFJ0DPUExpLo1m8C5U9Ppp5/kvIsk1jW/JX7X2ZTrvLy7JmkOgiXCBFtx1vHDgmjYjfwOfm3AQ/4BXOEoPqPyMdJvfMcoHXIsrTDbBfcPc5pH4g4OzC8hv5d1/gutL3GCHRL88mVSyTdooPRzY1IuqNql5cbwAWtLbC51BnrV6PRnDf8I/qqf/pXOF2e2mIaPMnrJNyUYtXFzZVKblC0vqaouSVMxbKdtERtJHa1EDDwXSoyAQyyyG1KZoufluS4u7yTC3bMMSlp7Gpudmc0Eo6bJRdGJbUdEZjEbjA0B3IOD9Ealdz6n4S90Twk6LbYb0WpAkvc50k2HREcN5PwV/h8K1rQ1ogAQBe3eoQjNO2WZJxa2MhgPQim2M5lX+E2HRZowK3Y1OhWdJVZHp4cDQAJjKnq6k/cXUyFD2kywdw1WXW43LHa7bluCVSp9ywr8RoRKAUmBq5mQdW+Ca8rm8o1jarARB+Ca1uUQP8AK4PB0+P0SOMXuluBxI39yYWxoI+9QopZXNXNnb6qPcLenMced1K5dx8lKUenuJMUP7Upuh545fdwmVMM1zg/RzQQCCdDrbQ9qW3cYTLvH3zCHUaHdFwEcCJad9p5LgMu482k/ETKFiQ4gFjhGYAzmcC3QgXsb63UlyIPH+R96pvxHDU/5TS0jee0+DvqlAk3Jnhv+hSGJUBLSGmJEAxJaeW/kuzEAaEnsDjvPV96oGLhntZeMoghuZwMnezeb669aLSvd1if6TwAnzup9O19hXuFa3mePEFPjjruO4pp+/veE7W3HuPWOBUAGTFt2nL+E9R3FAxLXS0DOLzmGWAR+F4duOhhFr1g0HNe3eN4PWslt70hOWGnSdOqRJP9KnBvq2VsKssds+kdIAsZdzmkEcJ+ipP291RwnM5rYDRIgkD3nlRcBsr1jZcCP1Eh0cQCIbvueKvcLhG0wGtERoA50ntkzzhdHDoereVpFOTOo7R5Ew2FAJdFyLus4+Bt1BHcB1Rxhsf3AdyY+Zv3FoP9zb/BO/aI3TydI7nSV1oY4xjUeDDKbk7ZJoVqlB0thsibss8cejPwVhS9Ifzsaetjh8ro8VTsewmTlI3tdLT3iQuq0mm7GujgHZ4PZNuxVZdLjy+tb+RxyyjwaPD7Youtmyng7ozymx7CpuccQsP+zmJItxy+GhPBR3gzaWjhNT7lYJ+yd/gl/ZoWp8ovKSkNXLlqKiQ1SaISrkmBIYihcuSARm/mn7ly5JAMTKmh5LlyjIaIWxz0+w+CnYjVcuXCjwdF8g0ElcuTENqaJrtFy5JgNonoplDVw3SlXJ+QDKFj7AEWJOo13rlyli9QPgmO80F4s7q06rbkq5QjyDFw5kNJ1tfenQJcN3DckXKf7+RDMOSaUnW/iU86O5T28Vy5SlywMr6WVXB0AnTieAWa2E0OxFMOAILXEg3BIiDfeFy5a9Byv3yLN6Da7PcTTdN4dAm8Dq4IOGu4A6GZ6+fFIuXbXMv3sczsc1xyOO8GB1DgE2mJLpvAt1apVysXLIMZQvTcTcjQnUcig/j7Vy5OHIn2H7OruLi0ucWx7pJI7tE2oblcuTlyOPB//9k="
RNSIT,Sri Venkateshwara Boys Hostel,Rajarajeshwari Nagar,Male,~3.7 km,"Double, Triple, Quad","6,000 - 7,500","Meals, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkYcluA-S89rEIRv21RLKmO5k_WR6WsPg8bg&s
RNSIT,Samrudhi Boys Hostel,Rajarajeshwari Nagar,Male,~4.5 km,"Double, Triple, Quad","6,000 - 7,501","Meals, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReEJfldVa4nQf1e1EamsaZqNl42V7ICLO8_A&s
RNSIT,Sri Sai Executive Boys Hostel,Rajarajeshwari Nagar,Male,~5 km,"Single,Double,Triple","6,000 - 7,502","Meals, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR82lyfF7jwm6Kjvou0ZQWVQJWlPXGGhMQbJQ&s
,,,,,,,,
,,,,,,,,
GITAM,SLN Grand PG,"Bala Nagar, Hyderabad",Male,~6.5 km,"Single,Double,Triple","11,000 - 13,000","Meals, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpanpZ5I7Zixo6qKvYQLAhCxlDenoLNdBNBA&s
GITAM,Nithya Girls Hostels,"Vidya Nagar, Hyderabad",Male,~6.5 km,"Single,Double,Triple","11,000 - 13,001","Meals, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_uJUws_s94ZZ9tQXduIEkLzcsVy0Vp2R-oQ&s
GITAM,Navya Sri Women's Hostels,Patancheru,Female,~3 km,"Single,Double,Triple","5,000 - 6,500","Meals, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3XMUktLYN23SxSCpuVse7W6geVU8N0hv5Mg&s
GITAM,Sree Vishnu Sai Women's PG,Patancheru,Female,~1 km,"Single,Double","4,500 - 6,000","Meals, Wi-Fi, Laundry",https://housing-images.n7net.in/01c16c28/c54da72880047bc8b3a9736b3b45fdc5/v0/medium/1_bhk_independent_builder_floor-for-rent-laxmi_nagar_new_delhi-New+Delhi-bedroom.jpg
GITAM,Suha Girls Hostel,Moula Ali,Female,~3 km,"Single,Double","4,500 - 6,000","Meals, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTpde7kS9XeekLAf5cqS3fnXD_xOOOdeRgXA&s
GITAM,Kishore Female's PG,Patancheru,Female,~2 km,"Single,Double","5,000 - 7,000","Meals, Wi-Fi, Laundry",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSnHiWAg2YNVi-T_9E_zqFICyHDXzvN0QNAA&s
